date,ticker,price
2003-01-02,OPEC oil,30.05
2003-01-03,OPEC oil,30.83
2003-01-06,OPEC oil,30.71
2003-01-07,OPEC oil,29.72
2003-01-08,OPEC oil,28.86
2003-01-09,OPEC oil,29.51
2003-01-10,OPEC oil,29.82
2003-01-13,OPEC oil,29.82
2003-01-14,OPEC oil,30.21
2003-01-15,OPEC oil,30.66
2003-01-16,OPEC oil,30.87
2003-01-17,OPEC oil,31.02
2003-01-20,OPEC oil,31.21
2003-01-21,OPEC oil,30.9
2003-01-22,OPEC oil,30.89
2003-01-23,OPEC oil,30.18
2003-01-24,OPEC oil,30.56
2003-01-27,OPEC oil,30.16
2003-01-28,OPEC oil,29.83
2003-01-29,OPEC oil,30.3
2003-01-30,OPEC oil,30.58
2003-01-31,OPEC oil,30.71
2003-02-03,OPEC oil,30.29
2003-02-04,OPEC oil,29.98
2003-02-05,OPEC oil,30.52
2003-02-06,OPEC oil,30.77
2003-02-07,OPEC oil,31.25
2003-02-10,OPEC oil,31.38
2003-02-11,OPEC oil,31.35
2003-02-12,OPEC oil,31.3
2003-02-13,OPEC oil,31.91
2003-02-14,OPEC oil,32.33
2003-02-17,OPEC oil,31.9
2003-02-18,OPEC oil,31.85
2003-02-19,OPEC oil,31.95
2003-02-20,OPEC oil,31.48
2003-02-21,OPEC oil,31.84
2003-02-24,OPEC oil,32.44
2003-02-25,OPEC oil,32.73
2003-02-26,OPEC oil,32.49
2003-02-27,OPEC oil,32.48
2003-02-28,OPEC oil,32.63
2003-03-03,OPEC oil,31.63
2003-03-04,OPEC oil,32.12
2003-03-05,OPEC oil,32.29
2003-03-06,OPEC oil,32.5
2003-03-07,OPEC oil,32.79
2003-03-10,OPEC oil,33.11
2003-03-11,OPEC oil,32.54
2003-03-12,OPEC oil,32.74
2003-03-13,OPEC oil,32.42
2003-03-14,OPEC oil,30.98
2003-03-17,OPEC oil,29.8
2003-03-18,OPEC oil,27.69
2003-03-19,OPEC oil,27.12
2003-03-20,OPEC oil,26.51
2003-03-21,OPEC oil,24.81
2003-03-24,OPEC oil,25.7
2003-03-25,OPEC oil,26.84
2003-03-26,OPEC oil,25.54
2003-03-27,OPEC oil,26.66
2003-03-28,OPEC oil,27.23
2003-03-31,OPEC oil,27.22
2003-04-01,OPEC oil,26.8
2003-04-02,OPEC oil,25.76
2003-04-03,OPEC oil,26
2003-04-04,OPEC oil,25.38
2003-04-07,OPEC oil,24.91
2003-04-08,OPEC oil,25.33
2003-04-09,OPEC oil,25.59
2003-04-10,OPEC oil,25.4
2003-04-11,OPEC oil,24.96
2003-04-14,OPEC oil,25.35
2003-04-15,OPEC oil,25.56
2003-04-16,OPEC oil,25.71
2003-04-17,OPEC oil,26.25
2003-04-21,OPEC oil,26.64
2003-04-22,OPEC oil,26.24
2003-04-23,OPEC oil,25.14
2003-04-24,OPEC oil,23.97
2003-04-25,OPEC oil,24.4
2003-04-28,OPEC oil,23.64
2003-04-29,OPEC oil,23.27
2003-04-30,OPEC oil,23.72
2003-05-01,OPEC oil,23.85
2003-05-02,OPEC oil,23.84
2003-05-05,OPEC oil,23.99
2003-05-06,OPEC oil,23.92
2003-05-07,OPEC oil,23.89
2003-05-08,OPEC oil,24.44
2003-05-09,OPEC oil,25.14
2003-05-12,OPEC oil,25.32
2003-05-13,OPEC oil,25.41
2003-05-14,OPEC oil,26.13
2003-05-15,OPEC oil,26.21
2003-05-16,OPEC oil,26.24
2003-05-19,OPEC oil,26.53
2003-05-20,OPEC oil,26.1
2003-05-21,OPEC oil,26.64
2003-05-22,OPEC oil,26.53
2003-05-23,OPEC oil,26.85
2003-05-26,OPEC oil,26.87
2003-05-27,OPEC oil,26.48
2003-05-28,OPEC oil,26.49
2003-05-29,OPEC oil,26.27
2003-05-30,OPEC oil,26.71
2003-06-02,OPEC oil,27.1
2003-06-03,OPEC oil,27.09
2003-06-04,OPEC oil,26.72
2003-06-05,OPEC oil,26.77
2003-06-06,OPEC oil,27.3
2003-06-09,OPEC oil,27.53
2003-06-10,OPEC oil,27.51
2003-06-11,OPEC oil,27.86
2003-06-12,OPEC oil,27.48
2003-06-13,OPEC oil,26.7
2003-06-16,OPEC oil,26.44
2003-06-17,OPEC oil,26.37
2003-06-18,OPEC oil,25.88
2003-06-19,OPEC oil,25.6
2003-06-20,OPEC oil,26.34
2003-06-23,OPEC oil,26.54
2003-06-24,OPEC oil,26.26
2003-06-25,OPEC oil,26.58
2003-06-26,OPEC oil,26.62
2003-06-27,OPEC oil,26.55
2003-06-30,OPEC oil,27.11
2003-07-01,OPEC oil,27.19
2003-07-02,OPEC oil,27.31
2003-07-03,OPEC oil,27.6
2003-07-04,OPEC oil,27.19
2003-07-07,OPEC oil,27.04
2003-07-08,OPEC oil,26.83
2003-07-09,OPEC oil,27.43
2003-07-10,OPEC oil,27.98
2003-07-11,OPEC oil,28.14
2003-07-14,OPEC oil,28.02
2003-07-15,OPEC oil,27.98
2003-07-16,OPEC oil,27.87
2003-07-17,OPEC oil,27.93
2003-07-18,OPEC oil,28.23
2003-07-21,OPEC oil,27.98
2003-07-22,OPEC oil,27.17
2003-07-23,OPEC oil,27
2003-07-24,OPEC oil,27.23
2003-07-25,OPEC oil,27.38
2003-07-28,OPEC oil,27.02
2003-07-29,OPEC oil,27.18
2003-07-30,OPEC oil,27.31
2003-07-31,OPEC oil,27.52
2003-08-01,OPEC oil,28.21
2003-08-04,OPEC oil,28.66
2003-08-05,OPEC oil,28.8
2003-08-06,OPEC oil,28.88
2003-08-07,OPEC oil,29.07
2003-08-08,OPEC oil,29.22
2003-08-11,OPEC oil,29.02
2003-08-12,OPEC oil,28.97
2003-08-13,OPEC oil,28.61
2003-08-14,OPEC oil,28.02
2003-08-15,OPEC oil,28.42
2003-08-18,OPEC oil,28.32
2003-08-19,OPEC oil,27.94
2003-08-20,OPEC oil,28.02
2003-08-21,OPEC oil,28.73
2003-08-22,OPEC oil,29.17
2003-08-25,OPEC oil,29.01
2003-08-26,OPEC oil,29.04
2003-08-27,OPEC oil,28.77
2003-08-28,OPEC oil,28.8
2003-08-29,OPEC oil,28.9
2003-09-01,OPEC oil,28.62
2003-09-02,OPEC oil,27.52
2003-09-03,OPEC oil,26.86
2003-09-04,OPEC oil,26.69
2003-09-05,OPEC oil,26.35
2003-09-08,OPEC oil,26.41
2003-09-09,OPEC oil,26.44
2003-09-10,OPEC oil,26.52
2003-09-11,OPEC oil,26.48
2003-09-12,OPEC oil,25.94
2003-09-15,OPEC oil,25.79
2003-09-16,OPEC oil,25.59
2003-09-17,OPEC oil,25.16
2003-09-18,OPEC oil,24.9
2003-09-19,OPEC oil,24.82
2003-09-22,OPEC oil,24.82
2003-09-23,OPEC oil,25.14
2003-09-24,OPEC oil,25.59
2003-09-25,OPEC oil,26.37
2003-09-26,OPEC oil,26.11
2003-09-29,OPEC oil,26.38
2003-09-30,OPEC oil,26.82
2003-10-01,OPEC oil,27.08
2003-10-02,OPEC oil,27.6
2003-10-03,OPEC oil,27.85
2003-10-06,OPEC oil,28.19
2003-10-07,OPEC oil,28.11
2003-10-08,OPEC oil,27.99
2003-10-09,OPEC oil,28.6
2003-10-10,OPEC oil,29.88
2003-10-13,OPEC oil,29.75
