date,ticker,price
2007-03-20,dollar,9220
2007-12-13,dollar,9500
2007-12-22,dollar,9390
2008-01-21,dollar,9430
2008-02-20,dollar,9110
2008-03-24,dollar,9100
2008-04-20,dollar,9370
2008-05-21,dollar,9380
2008-06-21,dollar,9300
2008-07-22,dollar,9630
2008-08-23,dollar,9720
2008-09-23,dollar,10000
2008-10-22,dollar,10310
2008-11-22,dollar,10000
2008-12-21,dollar,10030
2009-01-20,dollar,9710
2009-02-19,dollar,9870
2009-03-25,dollar,10090
2009-04-21,dollar,9820
2009-05-23,dollar,9940
2009-06-22,dollar,9990
2009-07-23,dollar,9970
2009-08-23,dollar,9920
2009-09-23,dollar,9920
2009-10-24,dollar,9970
2009-11-22,dollar,10030
2009-12-22,dollar,10050
2010-01-21,dollar,10080
2010-02-20,dollar,10050
2010-03-29,dollar,10080
2010-04-21,dollar,10410
2010-05-22,dollar,10420
2010-06-22,dollar,10500
2010-07-24,dollar,10550
2010-08-23,dollar,10570
2010-09-23,dollar,10800
2010-10-23,dollar,10570
2010-11-22,dollar,10680
2010-12-22,dollar,10840
2011-01-22,dollar,10900
2011-02-20,dollar,11200
2011-03-26,dollar,11220
2011-04-21,dollar,11870
2011-05-22,dollar,11800
2011-06-23,dollar,11340
2011-07-23,dollar,11890
2011-08-23,dollar,12550
2011-09-25,dollar,12740
2011-10-23,dollar,13130
2011-11-22,dollar,15150
2011-12-22,dollar,18200
2012-01-21,dollar,19200
2012-02-20,dollar,19150
2012-03-25,dollar,18180
2012-04-21,dollar,16760
2012-05-21,dollar,18280
2012-06-21,dollar,19090
2012-07-22,dollar,21350
2012-08-22,dollar,24380
2012-09-22,dollar,36000
2012-10-24,dollar,26500
2012-11-21,dollar,30950
2012-12-22,dollar,33400
2013-01-20,dollar,37100
2013-02-19,dollar,34000
2013-03-25,dollar,35000
2013-04-21,dollar,35200
2013-05-22,dollar,32900
2013-06-22,dollar,31500
2013-07-23,dollar,31050
2013-08-24,dollar,29250
2013-09-23,dollar,30000
2013-10-26,dollar,30040
2013-11-23,dollar,29400
2013-12-22,dollar,28800
2014-01-21,dollar,29520
2014-02-20,dollar,30100
2014-03-25,dollar,32110
2014-04-21,dollar,33040
2014-05-22,dollar,32100
2014-06-22,dollar,31330
2014-07-23,dollar,31000
2014-08-23,dollar,31740
2014-09-23,dollar,32290
2014-10-23,dollar,32520
2014-11-22,dollar,35120
2014-12-22,dollar,34720
2015-01-21,dollar,34100
2015-02-21,dollar,32740
2015-03-29,dollar,33280
2015-04-21,dollar,32840
2015-05-23,dollar,32820
2015-06-22,dollar,32480
2015-07-23,dollar,33480
2015-08-23,dollar,33880
2015-09-23,dollar,33850
2015-10-25,dollar,35800
2015-11-22,dollar,36400
2015-12-22,dollar,36170
2016-01-21,dollar,34950
2016-02-20,dollar,34710
2016-03-26,dollar,34730
2016-04-20,dollar,34420
2016-05-21,dollar,34590
2016-06-21,dollar,35080
2016-07-23,dollar,35390
2016-08-22,dollar,35680
2016-09-22,dollar,35920
2016-10-22,dollar,36800
2016-11-21,dollar,39700
2016-12-21,dollar,38240
2017-01-21,dollar,38020
2017-02-19,dollar,37480
2017-03-21,dollar,37480
2017-04-22,dollar,37400
2017-05-22,dollar,37420
2017-06-22,dollar,37760
2017-07-23,dollar,38300
2017-08-23,dollar,38920
2017-09-23,dollar,40110
2017-10-23,dollar,40930
2017-11-22,dollar,41940
2017-12-23,dollar,45330
2018-01-21,dollar,45750
2018-02-21,dollar,48990
2018-03-24,dollar,54300
2018-04-21,dollar,63500
2018-05-22,dollar,74700
2018-06-23,dollar,89300
2018-07-23,dollar,107000
2018-08-25,dollar,143900
2018-09-23,dollar,121000
