date,ticker,price
2007-03-20,MaskanTehran,9295308.72
2007-09-22,MaskanTehran,13941000
2008-03-19,MaskanTehran,16157589.95
2008-09-21,MaskanTehran,20101000
2009-03-19,MaskanTehran,17158000
2009-09-22,MaskanTehran,16114000
2010-03-20,MaskanTehran,16588535.27
2010-09-22,MaskanTehran,17616000
2011-03-20,MaskanTehran,18647000
2011-09-22,MaskanTehran,21040000
2012-03-19,MaskanTehran,22281000
2012-09-21,MaskanTehran,25260000
2013-03-19,MaskanTehran,33263000
2013-09-22,MaskanTehran,38438000
2014-03-20,MaskanTehran,37017000
2014-09-22,MaskanTehran,38554000
2015-03-20,MaskanTehran,40750000
2015-09-22,MaskanTehran,40403000
2016-03-19,MaskanTehran,43377290.04
2016-09-21,MaskanTehran,42900000
2017-03-19,MaskanTehran,43981290.12
