date,ticker,price
2008-11-26,shakheszeraat,100
2008-11-27,shakheszeraat,100
2008-11-28,shakheszeraat,100
2008-11-29,shakheszeraat,100
2008-11-30,shakheszeraat,100
2008-12-01,shakheszeraat,100
2008-12-02,shakheszeraat,100
2008-12-03,shakheszeraat,240
2008-12-04,shakheszeraat,241
2008-12-05,shakheszeraat,241
2008-12-06,shakheszeraat,241
2008-12-07,shakheszeraat,241
2008-12-08,shakheszeraat,241
2008-12-09,shakheszeraat,241
2008-12-10,shakheszeraat,241
2008-12-11,shakheszeraat,241
2008-12-12,shakheszeraat,241
2008-12-13,shakheszeraat,241
2008-12-14,shakheszeraat,241
2008-12-15,shakheszeraat,241
2008-12-16,shakheszeraat,241
2008-12-17,shakheszeraat,241
2008-12-18,shakheszeraat,241
2008-12-19,shakheszeraat,241
2008-12-20,shakheszeraat,241
2008-12-21,shakheszeraat,241
2008-12-22,shakheszeraat,241
2008-12-23,shakheszeraat,241
2008-12-24,shakheszeraat,241
2008-12-25,shakheszeraat,241
2008-12-26,shakheszeraat,241
2008-12-27,shakheszeraat,241
2008-12-28,shakheszeraat,241
2008-12-29,shakheszeraat,241
2008-12-30,shakheszeraat,241
2008-12-31,shakheszeraat,241
2009-01-01,shakheszeraat,241
2009-01-02,shakheszeraat,241
2009-01-03,shakheszeraat,241
2009-01-04,shakheszeraat,241
2009-01-05,shakheszeraat,241
2009-01-06,shakheszeraat,241
2009-01-07,shakheszeraat,241
2009-01-08,shakheszeraat,241
2009-01-09,shakheszeraat,241
2009-01-10,shakheszeraat,241
2009-01-11,shakheszeraat,241
2009-01-12,shakheszeraat,241
2009-01-13,shakheszeraat,241
2009-01-14,shakheszeraat,241
2009-01-15,shakheszeraat,241
2009-01-16,shakheszeraat,241
2009-01-17,shakheszeraat,241
2009-01-18,shakheszeraat,241
2009-01-19,shakheszeraat,241
2009-01-20,shakheszeraat,241
2009-01-21,shakheszeraat,241
2009-01-22,shakheszeraat,241
2009-01-23,shakheszeraat,241
2009-01-24,shakheszeraat,241
2009-01-25,shakheszeraat,241
2009-01-26,shakheszeraat,241
2009-01-27,shakheszeraat,241
2009-01-28,shakheszeraat,241
2009-01-29,shakheszeraat,241
2009-01-30,shakheszeraat,241
2009-01-31,shakheszeraat,241
2009-02-01,shakheszeraat,241
2009-02-02,shakheszeraat,241
2009-02-03,shakheszeraat,241
2009-02-04,shakheszeraat,241
2009-02-05,shakheszeraat,241
2009-02-06,shakheszeraat,241
2009-02-07,shakheszeraat,241
2009-02-08,shakheszeraat,241
2009-02-09,shakheszeraat,241
2009-02-10,shakheszeraat,241
2009-02-11,shakheszeraat,241
2009-02-12,shakheszeraat,241
2009-02-13,shakheszeraat,241
2009-02-14,shakheszeraat,241
2009-02-15,shakheszeraat,224
2009-02-16,shakheszeraat,224
2009-02-17,shakheszeraat,224
2009-02-18,shakheszeraat,224
2009-02-19,shakheszeraat,224
2009-02-20,shakheszeraat,224
2009-02-21,shakheszeraat,224
2009-02-22,shakheszeraat,224
2009-02-23,shakheszeraat,224
2009-02-24,shakheszeraat,224
2009-02-25,shakheszeraat,224
2009-02-26,shakheszeraat,224
2009-02-27,shakheszeraat,224
2009-02-28,shakheszeraat,224
2009-03-01,shakheszeraat,292
2009-03-02,shakheszeraat,292
2009-03-03,shakheszeraat,292
2009-03-04,shakheszeraat,292
2009-03-05,shakheszeraat,292
2009-03-06,shakheszeraat,292
2009-03-07,shakheszeraat,292
2009-03-08,shakheszeraat,292
2009-03-09,shakheszeraat,292
2009-03-10,shakheszeraat,292
2009-03-11,shakheszeraat,292
2009-03-12,shakheszeraat,292
2009-03-13,shakheszeraat,292
2009-03-14,shakheszeraat,288
2009-03-15,shakheszeraat,288
2009-03-16,shakheszeraat,288
2009-03-17,shakheszeraat,288
2009-03-18,shakheszeraat,288
2009-03-19,shakheszeraat,288
2009-03-20,shakheszeraat,288
2009-03-21,shakheszeraat,288
2009-03-22,shakheszeraat,288
2009-03-23,shakheszeraat,288
2009-03-24,shakheszeraat,288
2009-03-25,shakheszeraat,288
2009-03-26,shakheszeraat,288
2009-03-27,shakheszeraat,288
2009-03-28,shakheszeraat,288
2009-03-29,shakheszeraat,288
2009-03-30,shakheszeraat,288
2009-03-31,shakheszeraat,288
2009-04-01,shakheszeraat,288
2009-04-02,shakheszeraat,288
2009-04-03,shakheszeraat,288
2009-04-04,shakheszeraat,288
2009-04-05,shakheszeraat,288
2009-04-06,shakheszeraat,288
2009-04-07,shakheszeraat,288
2009-04-08,shakheszeraat,288
2009-04-09,shakheszeraat,288
2009-04-10,shakheszeraat,288
2009-04-11,shakheszeraat,288
2009-04-12,shakheszeraat,288
2009-04-13,shakheszeraat,288
2009-04-14,shakheszeraat,288
2009-04-15,shakheszeraat,288
2009-04-16,shakheszeraat,288
2009-04-17,shakheszeraat,288
2009-04-18,shakheszeraat,288
2009-04-19,shakheszeraat,279
2009-04-20,shakheszeraat,271
2009-04-21,shakheszeraat,267
2009-04-22,shakheszeraat,259
2009-04-23,shakheszeraat,259
2009-04-24,shakheszeraat,259
2009-04-25,shakheszeraat,259
2009-04-26,shakheszeraat,259
2009-04-27,shakheszeraat,255
2009-04-28,shakheszeraat,255
2009-04-29,shakheszeraat,255
2009-04-30,shakheszeraat,255
2009-05-01,shakheszeraat,255
2009-05-02,shakheszeraat,253
2009-05-03,shakheszeraat,251
2009-05-04,shakheszeraat,247
2009-05-05,shakheszeraat,246
2009-05-06,shakheszeraat,246
2009-05-07,shakheszeraat,246
2009-05-08,shakheszeraat,246
2009-05-09,shakheszeraat,246
2009-05-10,shakheszeraat,246
2009-05-11,shakheszeraat,250
2009-05-12,shakheszeraat,250
2009-05-13,shakheszeraat,251
2009-05-14,shakheszeraat,251
2009-05-15,shakheszeraat,251
2009-05-16,shakheszeraat,252
2009-05-17,shakheszeraat,253
2009-05-18,shakheszeraat,254
2009-05-19,shakheszeraat,254
2009-05-20,shakheszeraat,255
2009-05-21,shakheszeraat,255
2009-05-22,shakheszeraat,255
2009-05-23,shakheszeraat,255
2009-05-24,shakheszeraat,255
2009-05-25,shakheszeraat,255
2009-05-26,shakheszeraat,255
2009-05-27,shakheszeraat,254
2009-05-28,shakheszeraat,254
2009-05-29,shakheszeraat,254
2009-05-30,shakheszeraat,255
2009-05-31,shakheszeraat,255
2009-06-01,shakheszeraat,255
2009-06-02,shakheszeraat,255
2009-06-03,shakheszeraat,255
2009-06-04,shakheszeraat,255
2009-06-05,shakheszeraat,255
2009-06-06,shakheszeraat,255
2009-06-07,shakheszeraat,255
2009-06-08,shakheszeraat,255
2009-06-09,shakheszeraat,255
2009-06-10,shakheszeraat,255
2009-06-11,shakheszeraat,255
2009-06-12,shakheszeraat,255
2009-06-13,shakheszeraat,255
2009-06-14,shakheszeraat,255
2009-06-15,shakheszeraat,255
2009-06-16,shakheszeraat,255
2009-06-17,shakheszeraat,255
2009-06-18,shakheszeraat,255
2009-06-19,shakheszeraat,255
2009-06-20,shakheszeraat,255
2009-06-21,shakheszeraat,255
2009-06-22,shakheszeraat,255
2009-06-23,shakheszeraat,252
2009-06-24,shakheszeraat,251
2009-06-25,shakheszeraat,251
2009-06-26,shakheszeraat,251
2009-06-27,shakheszeraat,251
2009-06-28,shakheszeraat,251
2009-06-29,shakheszeraat,251
2009-06-30,shakheszeraat,251
2009-07-01,shakheszeraat,251
2009-07-02,shakheszeraat,251
2009-07-03,shakheszeraat,251
2009-07-04,shakheszeraat,251
2009-07-05,shakheszeraat,251
2009-07-06,shakheszeraat,251
2009-07-07,shakheszeraat,251
2009-07-08,shakheszeraat,251
2009-07-09,shakheszeraat,251
2009-07-10,shakheszeraat,251
2009-07-11,shakheszeraat,251
2009-07-12,shakheszeraat,251
2009-07-13,shakheszeraat,251
2009-07-14,shakheszeraat,251
2009-07-15,shakheszeraat,252
2009-07-16,shakheszeraat,252
2009-07-17,shakheszeraat,252
2009-07-18,shakheszeraat,252
2009-07-19,shakheszeraat,252
2009-07-20,shakheszeraat,252
2009-07-21,shakheszeraat,252
2009-07-22,shakheszeraat,252
2009-07-23,shakheszeraat,252
2009-07-24,shakheszeraat,252
2009-07-25,shakheszeraat,252
2009-07-26,shakheszeraat,252
2009-07-27,shakheszeraat,329
2009-07-28,shakheszeraat,329
2009-07-29,shakheszeraat,329
2009-07-30,shakheszeraat,329
2009-07-31,shakheszeraat,329
2009-08-01,shakheszeraat,329
2009-08-02,shakheszeraat,329
2009-08-03,shakheszeraat,329
2009-08-04,shakheszeraat,330
2009-08-05,shakheszeraat,331
2009-08-06,shakheszeraat,331
2009-08-07,shakheszeraat,331
2009-08-08,shakheszeraat,331
2009-08-09,shakheszeraat,331
2009-08-10,shakheszeraat,331
2009-08-11,shakheszeraat,331
2009-08-12,shakheszeraat,331
