date,ticker,price
2008-11-26,shakhesghandoshekar,100
2008-11-27,shakhesghandoshekar,100
2008-11-28,shakhesghandoshekar,100
2008-11-29,shakhesghandoshekar,100
2008-11-30,shakhesghandoshekar,100
2008-12-01,shakhesghandoshekar,100
2008-12-02,shakhesghandoshekar,100
2008-12-03,shakhesghandoshekar,100
2008-12-04,shakhesghandoshekar,100
2008-12-05,shakhesghandoshekar,347
2008-12-06,shakhesghandoshekar,347
2008-12-07,shakhesghandoshekar,346
2008-12-08,shakhesghandoshekar,346
2008-12-09,shakhesghandoshekar,346
2008-12-10,shakhesghandoshekar,346
2008-12-11,shakhesghandoshekar,346
2008-12-12,shakhesghandoshekar,346
2008-12-13,shakhesghandoshekar,346
2008-12-14,shakhesghandoshekar,346
2008-12-15,shakhesghandoshekar,346
2008-12-16,shakhesghandoshekar,345
2008-12-17,shakhesghandoshekar,345
2008-12-18,shakhesghandoshekar,345
2008-12-19,shakhesghandoshekar,345
2008-12-20,shakhesghandoshekar,346
2008-12-21,shakhesghandoshekar,346
2008-12-22,shakhesghandoshekar,345
2008-12-23,shakhesghandoshekar,346
2008-12-24,shakhesghandoshekar,346
2008-12-25,shakhesghandoshekar,346
2008-12-26,shakhesghandoshekar,346
2008-12-27,shakhesghandoshekar,346
2008-12-28,shakhesghandoshekar,346
2008-12-29,shakhesghandoshekar,346
2008-12-30,shakhesghandoshekar,334
2008-12-31,shakhesghandoshekar,346
2009-01-01,shakhesghandoshekar,346
2009-01-02,shakhesghandoshekar,346
2009-01-03,shakhesghandoshekar,346
2009-01-04,shakhesghandoshekar,346
2009-01-05,shakhesghandoshekar,346
2009-01-06,shakhesghandoshekar,346
2009-01-07,shakhesghandoshekar,346
2009-01-08,shakhesghandoshekar,346
2009-01-09,shakhesghandoshekar,346
2009-01-10,shakhesghandoshekar,346
2009-01-11,shakhesghandoshekar,341
2009-01-12,shakhesghandoshekar,341
2009-01-13,shakhesghandoshekar,341
2009-01-14,shakhesghandoshekar,341
2009-01-15,shakhesghandoshekar,341
2009-01-16,shakhesghandoshekar,341
2009-01-17,shakhesghandoshekar,341
2009-01-18,shakhesghandoshekar,340
2009-01-19,shakhesghandoshekar,340
2009-01-20,shakhesghandoshekar,340
2009-01-21,shakhesghandoshekar,340
2009-01-22,shakhesghandoshekar,340
2009-01-23,shakhesghandoshekar,340
2009-01-24,shakhesghandoshekar,340
2009-01-25,shakhesghandoshekar,340
2009-01-26,shakhesghandoshekar,335
2009-01-27,shakhesghandoshekar,335
2009-01-28,shakhesghandoshekar,335
2009-01-29,shakhesghandoshekar,335
2009-01-30,shakhesghandoshekar,335
2009-01-31,shakhesghandoshekar,335
2009-02-01,shakhesghandoshekar,335
2009-02-02,shakhesghandoshekar,328
2009-02-03,shakhesghandoshekar,327
2009-02-04,shakhesghandoshekar,308
2009-02-05,shakhesghandoshekar,308
2009-02-06,shakhesghandoshekar,308
2009-02-07,shakhesghandoshekar,307
2009-02-08,shakhesghandoshekar,306
2009-02-09,shakhesghandoshekar,306
2009-02-10,shakhesghandoshekar,306
2009-02-11,shakhesghandoshekar,304
2009-02-12,shakhesghandoshekar,304
2009-02-13,shakhesghandoshekar,304
2009-02-14,shakhesghandoshekar,305
2009-02-15,shakhesghandoshekar,305
2009-02-16,shakhesghandoshekar,305
2009-02-17,shakhesghandoshekar,306
2009-02-18,shakhesghandoshekar,305
2009-02-19,shakhesghandoshekar,305
2009-02-20,shakhesghandoshekar,305
2009-02-21,shakhesghandoshekar,305
2009-02-22,shakhesghandoshekar,309
2009-02-23,shakhesghandoshekar,310
2009-02-24,shakhesghandoshekar,310
2009-02-25,shakhesghandoshekar,310
2009-02-26,shakhesghandoshekar,310
2009-02-27,shakhesghandoshekar,310
2009-02-28,shakhesghandoshekar,310
2009-03-01,shakhesghandoshekar,308
2009-03-02,shakhesghandoshekar,309
2009-03-03,shakhesghandoshekar,309
2009-03-04,shakhesghandoshekar,310
2009-03-05,shakhesghandoshekar,310
2009-03-06,shakhesghandoshekar,310
2009-03-07,shakhesghandoshekar,310
2009-03-08,shakhesghandoshekar,311
2009-03-09,shakhesghandoshekar,311
2009-03-10,shakhesghandoshekar,277
2009-03-11,shakhesghandoshekar,276
2009-03-12,shakhesghandoshekar,276
2009-03-13,shakhesghandoshekar,276
2009-03-14,shakhesghandoshekar,276
2009-03-15,shakhesghandoshekar,276
2009-03-16,shakhesghandoshekar,276
2009-03-17,shakhesghandoshekar,276
2009-03-18,shakhesghandoshekar,276
2009-03-19,shakhesghandoshekar,276
2009-03-20,shakhesghandoshekar,276
2009-03-21,shakhesghandoshekar,276
2009-03-22,shakhesghandoshekar,276
2009-03-23,shakhesghandoshekar,276
2009-03-24,shakhesghandoshekar,276
2009-03-25,shakhesghandoshekar,276
2009-03-26,shakhesghandoshekar,276
2009-03-27,shakhesghandoshekar,276
2009-03-28,shakhesghandoshekar,276
2009-03-29,shakhesghandoshekar,276
2009-03-30,shakhesghandoshekar,276
2009-03-31,shakhesghandoshekar,275
2009-04-01,shakhesghandoshekar,275
2009-04-02,shakhesghandoshekar,275
2009-04-03,shakhesghandoshekar,275
2009-04-04,shakhesghandoshekar,276
2009-04-05,shakhesghandoshekar,276
2009-04-06,shakhesghandoshekar,276
2009-04-07,shakhesghandoshekar,277
2009-04-08,shakhesghandoshekar,277
2009-04-09,shakhesghandoshekar,277
2009-04-10,shakhesghandoshekar,277
2009-04-11,shakhesghandoshekar,277
2009-04-12,shakhesghandoshekar,277
2009-04-13,shakhesghandoshekar,278
2009-04-14,shakhesghandoshekar,278
