x,y,z
-0.008757704,0.49978881,0
-0.004144852,0.158997916,0
-0.005476451,0.244059297,0.01119403
0,-0.146410626,0
-0.005286344,-0.060846252,0.003690037
0,0.029448633,0
0,0.061938243,0.011029412
-0.006532329,0.05852634,0.003636364
-0.007243954,0.128331635,-0.003623188
-0.001908397,0.05898289,-0.001818182
-0.002474412,0.13370136,0
0,0.31682502,-0.001821494
0,0.15557827,-0.00729927
0,-0.036968625,-0.001838235
-0.001353027,0.041521463,-0.001841621
-0.000564525,0.05695907,0
-0.002033439,-0.008515337,0.007380074
-0.00339597,0.073615574,0
-0.000908678,-0.011003224,0.003663004
0,0.025204898,0.010948905
0,,0
-0.001023192,,-0.007220217
-0.00330033,,0.036363636
-0.003539621,,-0.024561404
-0.003781368,,0
-0.00437083,,0
0,,0.017985612
0,,0
-0.001617375,,-0.003533569
-0.002545707,,0.00177305
-0.002784223,,0.015929204
0,,0
0,,-0.017421603
0,,0.028368794
0,,-0.003448276
-0.002326664,,-0.006920415
-0.003964552,,0.003484321
-0.002692578,,0.024305556
-0.006456157,,0
-0.001063327,,0
0,,0
0,,0
0.00035482,,-0.006779661
0.000236463,,-0.003412969
0.000827423,,0
0.003543168,,0
0.002000706,,-0.006849315
0,,-0.006896552
0,,0
0.003993423,,0.006944444
-0.003509593,,0.003448276
-0.001408781,,0.013745704
0.000235128,,0
-0.001410437,,0.003389831
0,,0.003378378
0,,0
0.001412429,,0.003367003
-0.001880583,,0.006711409
0.000471032,,0.013333333
-0.001530132,,0
-0.002004008,,0
0,,-0.006578947
0,,-0.001655629
-0.001771793,,0.001658375
-0.001538279,,0.016556291
-0.001659161,,0.009771987
0,,0
0.000237417,,0.003225806
0,,-0.008038585
0,,-0.003241491
-0.000712082,,0.001626016
-0.000831354,,-0.012987013
0,,0.006578947
-0.002733864,,0
-0.001549464,,0
0,,0.013071895
0,,0
-0.002506864,,0.006451613
-0.007060795,,-0.012820513
-0.00373629,,0
0,,0
-0.002056617,,0
0,,0.001623377
0,,0.011345219
-0.000727361,,0
-0.001941041,,-0.006410256
-0.001337061,,0.006451613
-0.001825706,,0
-0.002072918,,-0.028846154
0,,0
0,,0
-0.006109482,,0
-0.002827637,,-0.00330033
-0.00184934,,-0.006622517
0.004570158,,0
-0.000368868,,0
0,,0.003333333
0,,0.003322259
-0.001107011,,-0.003311258
0,,0
-0.016007881,,0.003322259
-0.002502816,,0
-0.001630912,,0
0,,-0.013245033
0,,-0.006711409
0,,0
0,,-0.006756757
0,,0.003401361
0,,0
0.001005278,,0
0,,0.003389831
0,,0
0,,0
-0.001255335,,0.005067568
0.001759678,,-0.016806723
0.00238394,,0
0,,-0.001709402
0,,0.010273973
0,,0
0.001627237,,0
0.000499875,,0
0.005370972,,0
0.003354454,,0
0.004333829,,0.008474576
0,,0.008403361
0,,0
0.005054864,,0
0.002944063,,0
0.002323875,,-0.003333333
0.006955461,,0
0,,0.006688963
0,,0.006644518
0,,0
0.004604944,,0
0.006875754,,0.00330033
0.009943692,,0
0.00059312,,0
0.004860699,,0
0,,0
0,,0
-0.000825861,,0
0.004014642,,-0.003289474
0.001764083,,0.00660066
0.001173985,,0
0.000820826,,0.003278689
0,,0
0,,0.003267974
0.00152314,,0.003257329
0.004328498,,0
0.006173559,,0
0.00706182,,0
0.008621681,,0
0,,0.01461039
0,,-0.0016
0.011169364,,0
0.006537421,,0.001602564
0.006718925,,0.0048
-0.002447164,,0
-0.004125781,,0
0,,0
0,,-0.003184713
-0.00481469,,-0.001597444
0.00360036,,0.0016
0.004372197,,0.009584665
-0.000334859,,0
0.005582849,,0
0,,0.003164557
0,,0.012618297
