date,ticker,price
4/5/2010,Sekkejadid,2680000
4/6/2010,Sekkejadid,2680000
4/7/2010,Sekkejadid,2680000
4/8/2010,Sekkejadid,2710000
4/10/2010,Sekkejadid,2720000
4/12/2010,Sekkejadid,2750000
4/13/2010,Sekkejadid,2760000
4/14/2010,Sekkejadid,2750000
4/15/2010,Sekkejadid,2745000
4/17/2010,Sekkejadid,2740000
4/18/2010,Sekkejadid,2720000
4/19/2010,Sekkejadid,2715000
4/20/2010,Sekkejadid,2710000
4/21/2010,Sekkejadid,2710000
4/22/2010,Sekkejadid,2730000
4/24/2010,Sekkejadid,2740000
4/25/2010,Sekkejadid,2770000
4/27/2010,Sekkejadid,2750000
4/28/2010,Sekkejadid,2850000
4/29/2010,Sekkejadid,2780000
5/1/2010,Sekkejadid,2780000
5/2/2010,Sekkejadid,2830000
5/3/2010,Sekkejadid,2830000
5/4/2010,Sekkejadid,2820000
5/5/2010,Sekkejadid,2825000
5/6/2010,Sekkejadid,2870000
5/8/2010,Sekkejadid,2820000
5/9/2010,Sekkejadid,2900000
5/10/2010,Sekkejadid,2890000
5/11/2010,Sekkejadid,2870000
5/12/2010,Sekkejadid,2880000
5/13/2010,Sekkejadid,2950000
5/15/2010,Sekkejadid,2950000
5/18/2010,Sekkejadid,2930000
5/19/2010,Sekkejadid,2920000
5/20/2010,Sekkejadid,2920000
5/22/2010,Sekkejadid,2900000
5/23/2010,Sekkejadid,2880000
5/24/2010,Sekkejadid,2880000
5/25/2010,Sekkejadid,2900000
5/26/2010,Sekkejadid,2910000
5/27/2010,Sekkejadid,2950000
5/29/2010,Sekkejadid,2960000
5/30/2010,Sekkejadid,2970000
5/31/2010,Sekkejadid,2970000
6/1/2010,Sekkejadid,2980000
6/2/2010,Sekkejadid,3000000
6/3/2010,Sekkejadid,3040000
6/6/2010,Sekkejadid,3020000
6/7/2010,Sekkejadid,3015000
6/8/2010,Sekkejadid,3020000
6/9/2010,Sekkejadid,3070000
6/10/2010,Sekkejadid,3100000
6/12/2010,Sekkejadid,3110000
6/13/2010,Sekkejadid,3085000
6/14/2010,Sekkejadid,3075000
6/15/2010,Sekkejadid,3080000
6/16/2010,Sekkejadid,3040000
6/17/2010,Sekkejadid,3060000
6/19/2010,Sekkejadid,3060000
6/20/2010,Sekkejadid,3100000
6/22/2010,Sekkejadid,3120000
6/23/2010,Sekkejadid,3080000
6/24/2010,Sekkejadid,3080000
6/27/2010,Sekkejadid,3085000
6/28/2010,Sekkejadid,3120000
6/29/2010,Sekkejadid,3120000
6/30/2010,Sekkejadid,3100000
7/1/2010,Sekkejadid,3120000
7/3/2010,Sekkejadid,3030000
7/5/2010,Sekkejadid,3030000
7/7/2010,Sekkejadid,3020000
7/8/2010,Sekkejadid,3000000
7/11/2010,Sekkejadid,3010000
7/12/2010,Sekkejadid,3020000
7/13/2010,Sekkejadid,3010000
7/15/2010,Sekkejadid,3020000
7/17/2010,Sekkejadid,3020000
7/18/2010,Sekkejadid,2980000
7/19/2010,Sekkejadid,2960000
7/20/2010,Sekkejadid,2960000
7/21/2010,Sekkejadid,2940000
7/22/2010,Sekkejadid,2950000
7/24/2010,Sekkejadid,2950000
7/25/2010,Sekkejadid,2960000
7/26/2010,Sekkejadid,2960000
7/28/2010,Sekkejadid,2975000
7/29/2010,Sekkejadid,2925000
7/31/2010,Sekkejadid,2920000
8/1/2010,Sekkejadid,2950000
8/2/2010,Sekkejadid,2950000
8/3/2010,Sekkejadid,2950000
8/4/2010,Sekkejadid,2950000
8/7/2010,Sekkejadid,2975000
8/8/2010,Sekkejadid,3000000
8/9/2010,Sekkejadid,3000000
8/11/2010,Sekkejadid,3000000
8/12/2010,Sekkejadid,2990000
8/14/2010,Sekkejadid,3010000
8/15/2010,Sekkejadid,3030000
8/16/2010,Sekkejadid,3030000
8/17/2010,Sekkejadid,3030000
8/18/2010,Sekkejadid,3040000
8/19/2010,Sekkejadid,3040000
8/21/2010,Sekkejadid,3040000
8/22/2010,Sekkejadid,3040000
8/23/2010,Sekkejadid,3040000
8/24/2010,Sekkejadid,3040000
8/25/2010,Sekkejadid,3030000
8/26/2010,Sekkejadid,3050000
8/28/2010,Sekkejadid,3060000
8/29/2010,Sekkejadid,3060000
8/30/2010,Sekkejadid,3070000
8/31/2010,Sekkejadid,3080000
9/4/2010,Sekkejadid,3080000
9/5/2010,Sekkejadid,3125000
9/6/2010,Sekkejadid,3120000
