date,ticker,price
2010-04-05,Sekkejadid,2680000
2010-04-06,Sekkejadid,2680000
2010-04-07,Sekkejadid,2680000
2010-04-08,Sekkejadid,2710000
2010-04-10,Sekkejadid,2720000
2010-04-12,Sekkejadid,2750000
2010-04-13,Sekkejadid,2760000
2010-04-14,Sekkejadid,2750000
2010-04-15,Sekkejadid,2745000
2010-04-17,Sekkejadid,2740000
2010-04-18,Sekkejadid,2720000
2010-04-19,Sekkejadid,2715000
2010-04-20,Sekkejadid,2710000
2010-04-21,Sekkejadid,2710000
2010-04-22,Sekkejadid,2730000
2010-04-24,Sekkejadid,2740000
2010-04-25,Sekkejadid,2770000
2010-04-27,Sekkejadid,2750000
2010-04-28,Sekkejadid,2850000
2010-04-29,Sekkejadid,2780000
2010-05-01,Sekkejadid,2780000
2010-05-02,Sekkejadid,2830000
2010-05-03,Sekkejadid,2830000
2010-05-04,Sekkejadid,2820000
2010-05-05,Sekkejadid,2825000
2010-05-06,Sekkejadid,2870000
2010-05-08,Sekkejadid,2820000
2010-05-09,Sekkejadid,2900000
2010-05-10,Sekkejadid,2890000
2010-05-11,Sekkejadid,2870000
2010-05-12,Sekkejadid,2880000
2010-05-13,Sekkejadid,2950000
2010-05-15,Sekkejadid,2950000
2010-05-18,Sekkejadid,2930000
2010-05-19,Sekkejadid,2920000
2010-05-20,Sekkejadid,2920000
2010-05-22,Sekkejadid,2900000
2010-05-23,Sekkejadid,2880000
2010-05-24,Sekkejadid,2880000
2010-05-25,Sekkejadid,2900000
2010-05-26,Sekkejadid,2910000
2010-05-27,Sekkejadid,2950000
2010-05-29,Sekkejadid,2960000
2010-05-30,Sekkejadid,2970000
2010-05-31,Sekkejadid,2970000
2010-06-01,Sekkejadid,2980000
2010-06-02,Sekkejadid,3000000
2010-06-03,Sekkejadid,3040000
2010-06-06,Sekkejadid,3020000
2010-06-07,Sekkejadid,3015000
2010-06-08,Sekkejadid,3020000
2010-06-09,Sekkejadid,3070000
2010-06-10,Sekkejadid,3100000
2010-06-12,Sekkejadid,3110000
2010-06-13,Sekkejadid,3085000
2010-06-14,Sekkejadid,3075000
2010-06-15,Sekkejadid,3080000
2010-06-16,Sekkejadid,3040000
2010-06-17,Sekkejadid,3060000
2010-06-19,Sekkejadid,3060000
2010-06-20,Sekkejadid,3100000
2010-06-22,Sekkejadid,3120000
2010-06-23,Sekkejadid,3080000
2010-06-24,Sekkejadid,3080000
2010-06-27,Sekkejadid,3085000
2010-06-28,Sekkejadid,3120000
2010-06-29,Sekkejadid,3120000
2010-06-30,Sekkejadid,3100000
2010-07-01,Sekkejadid,3120000
2010-07-03,Sekkejadid,3030000
2010-07-05,Sekkejadid,3030000
2010-07-07,Sekkejadid,3020000
2010-07-08,Sekkejadid,3000000
2010-07-11,Sekkejadid,3010000
2010-07-12,Sekkejadid,3020000
2010-07-13,Sekkejadid,3010000
2010-07-15,Sekkejadid,3020000
2010-07-17,Sekkejadid,3020000
2010-07-18,Sekkejadid,2980000
2010-07-19,Sekkejadid,2960000
2010-07-20,Sekkejadid,2960000
2010-07-21,Sekkejadid,2940000
2010-07-22,Sekkejadid,2950000
2010-07-24,Sekkejadid,2950000
2010-07-25,Sekkejadid,2960000
2010-07-26,Sekkejadid,2960000
2010-07-28,Sekkejadid,2975000
2010-07-29,Sekkejadid,2925000
2010-07-31,Sekkejadid,2920000
2010-08-01,Sekkejadid,2950000
2010-08-02,Sekkejadid,2950000
2010-08-03,Sekkejadid,2950000
2010-08-04,Sekkejadid,2950000
2010-08-07,Sekkejadid,2975000
2010-08-08,Sekkejadid,3000000
2010-08-09,Sekkejadid,3000000
2010-08-11,Sekkejadid,3000000
2010-08-12,Sekkejadid,2990000
2010-08-14,Sekkejadid,3010000
2010-08-15,Sekkejadid,3030000
2010-08-16,Sekkejadid,3030000
2010-08-17,Sekkejadid,3030000
2010-08-18,Sekkejadid,3040000
2010-08-19,Sekkejadid,3040000
2010-08-21,Sekkejadid,3040000
2010-08-22,Sekkejadid,3040000
2010-08-23,Sekkejadid,3040000
2010-08-24,Sekkejadid,3040000
2010-08-25,Sekkejadid,3030000
2010-08-26,Sekkejadid,3050000
2010-08-28,Sekkejadid,3060000
2010-08-29,Sekkejadid,3060000
2010-08-30,Sekkejadid,3070000
2010-08-31,Sekkejadid,3080000
2010-09-04,Sekkejadid,3080000
2010-09-05,Sekkejadid,3125000
2010-09-06,Sekkejadid,3120000
2010-09-07,Sekkejadid,3120000
2010-09-08,Sekkejadid,3125000
2010-09-09,Sekkejadid,3140000
2010-09-12,Sekkejadid,3140000
2010-09-13,Sekkejadid,3130000
2010-09-14,Sekkejadid,3125000
2010-09-15,Sekkejadid,3130000
2010-09-16,Sekkejadid,3160000
2010-09-18,Sekkejadid,3160000
2010-09-19,Sekkejadid,3170000
2010-09-20,Sekkejadid,3210000
